iter	Passed	Remaining
0	156	31230
1	187	18553
2	204	13417
3	224	10986
4	244	9523
5	261	8456
6	280	7732
7	299	7187
8	315	6703
9	332	6322
10	353	6068
11	371	5825
12	390	5613
13	405	5388
14	422	5208
15	438	5037
16	452	4873
17	467	4723
18	489	4659
19	508	4579
20	527	4495
21	547	4432
22	569	4381
23	589	4319
24	618	4326
25	635	4254
26	653	4190
27	668	4107
28	684	4033
29	702	3980
30	718	3916
31	733	3852
32	749	3792
33	768	3750
34	783	3695
35	800	3644
36	817	3602
37	837	3569
38	859	3548
39	877	3508
40	893	3463
41	910	3424
42	931	3400
43	952	3377
44	977	3366
45	997	3340
46	1017	3312
47	1041	3297
48	1062	3274
49	1081	3245
50	1099	3213
51	1118	3183
52	1133	3144
53	1149	3106
54	1164	3070
55	1182	3039
56	1197	3003
57	1212	2967
58	1227	2933
59	1246	2908
60	1262	2876
61	1276	2842
62	1295	2817
63	1312	2788
64	1326	2754
65	1341	2723
66	1356	2693
67	1371	2662
68	1387	2633
69	1401	2603
70	1417	2575
71	1433	2547
72	1455	2532
73	1475	2512
74	1493	2488
75	1509	2462
76	1525	2436
77	1540	2409
78	1556	2384
79	1570	2356
80	1585	2329
81	1601	2304
82	1615	2277
83	1632	2254
84	1647	2229
85	1662	2204
86	1677	2178
87	1692	2153
88	1706	2128
89	1722	2105
90	1737	2080
91	1752	2057
92	1769	2036
93	1787	2015
94	1805	1996
95	1834	1987
96	1887	2004
97	1922	2000
98	1952	1991
99	1977	1977
100	2003	1963
101	2027	1948
102	2058	1939
103	2082	1922
104	2110	1909
105	2140	1898
106	2164	1881
107	2188	1864
108	2214	1848
109	2236	1829
110	2257	1809
111	2275	1787
112	2294	1766
113	2315	1746
114	2335	1726
115	2353	1704
116	2368	1680
117	2384	1656
118	2399	1633
119	2415	1610
120	2433	1588
121	2450	1566
122	2465	1543
123	2483	1522
124	2499	1499
125	2519	1479
126	2535	1457
127	2550	1434
128	2568	1413
129	2586	1392
130	2606	1372
131	2622	1350
132	2637	1328
133	2652	1306
134	2667	1284
135	2681	1262
136	2695	1239
137	2711	1218
138	2726	1196
139	2744	1176
140	2760	1154
141	2774	1133
142	2790	1112
143	2804	1090
144	2819	1069
145	2835	1048
146	2856	1030
147	2899	1018
148	2939	1005
149	2988	996
150	3034	984
151	3067	968
152	3106	954
153	3138	937
154	3171	920
155	3194	900
156	3215	880
157	3235	860
158	3254	839
159	3272	818
160	3287	796
161	3303	774
162	3317	753
163	3332	731
164	3347	710
165	3365	689
166	3380	667
167	3394	646
168	3409	625
169	3423	604
170	3438	583
171	3454	562
172	3472	541
173	3487	521
174	3501	500
175	3517	479
176	3536	459
177	3551	438
178	3566	418
179	3580	397
180	3594	377
181	3609	356
182	3623	336
183	3638	316
184	3653	296
185	3668	276
186	3684	256
187	3700	236
188	3717	216
189	3732	196
190	3748	176
191	3763	156
192	3778	137
193	3796	117
194	3817	97
195	3838	78
196	3857	58
197	3874	39
198	3894	19
199	3913	0
